epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,165.334,1.02189,1.40646,1.44067,1.10702,0,0.81204,0.77698,0.85813,0.61699,0.81192,0.77218,0.84744,0.56545,0.9334,0.68988,1.22904,1.00596,0,0.00066335,0.00066335,0.00066335
2,320.722,1.05058,0.68712,1.14587,1.12334,0,0.86737,0.8469,0.91996,0.63762,0.89744,0.81535,0.90953,0.60153,1.01922,0.67819,1.01937,1.08463,0,0.00119834,0.00119834,0.00119834
3,465.442,1.03399,0.60945,1.08024,1.12515,0,0.79658,0.86091,0.88493,0.61939,0.79214,0.85612,0.88292,0.56628,0.97558,0.51202,1.05205,1.05328,0,0.00160134,0.00160134,0.00160134
4,601.027,0.99542,0.54961,0.98137,1.10647,0,0.88108,0.89448,0.93234,0.67587,0.88341,0.88489,0.92521,0.64571,0.90731,0.46406,0.8641,1.02678,0,0.001406,0.001406,0.001406
5,730.438,0.89678,0.53586,0.86595,1.05227,0,0.94059,0.91123,0.96887,0.74685,0.93581,0.91607,0.96413,0.68201,0.80491,0.43401,0.7251,0.95535,0,0.001208,0.001208,0.001208
6,859.096,0.86744,0.48509,0.79426,1.03288,0,0.95267,0.91367,0.97007,0.74256,0.94539,0.90647,0.96349,0.70846,0.7586,0.41673,0.6651,0.96232,0,0.00101,0.00101,0.00101
7,987.1,0.79994,0.44981,0.69829,1.01189,0,0.9545,0.94724,0.98005,0.76277,0.94725,0.94005,0.97579,0.72781,0.74925,0.40548,0.61789,0.96029,0,0.000812,0.000812,0.000812
8,1116.09,0.77624,0.45443,0.66195,0.99965,0,0.97106,0.96882,0.98605,0.79735,0.97131,0.96643,0.98574,0.76098,0.68264,0.35228,0.55404,0.92298,0,0.000614,0.000614,0.000614
9,1245.55,0.71218,0.39631,0.60062,0.98007,0,0.97142,0.97798,0.98769,0.81867,0.96666,0.97345,0.98514,0.75302,0.62191,0.325,0.49246,0.89938,0,0.000416,0.000416,0.000416
10,1373.99,0.66995,0.36919,0.53776,0.95065,0,0.97607,0.97813,0.98855,0.82068,0.97128,0.97333,0.98787,0.77919,0.61937,0.30985,0.46905,0.89769,0,0.000218,0.000218,0.000218
